

gen best mean std
0 92.13704 6.047093 27.047098
1 92.239318 37.069083 37.693574
2 92.239318 57.047338 31.434851
3 92.770654 74.71305 23.267161
4 92.770654 82.021691 18.09457
5 92.970654 86.535456 11.76778
6 92.970654 88.208296 8.629453
7 93.727 88.217921 12.599446
8 93.789365 89.275864 9.685439
9 94.589365 89.635195 9.000988
10 94.589365 89.922809 7.288201
11 94.589365 90.020489 7.51598
12 94.589365 90.224892 6.052264
13 94.589365 91.216582 5.08383
14 94.589365 92.105625 1.365293
15 94.589365 91.585866 7.66316
16 94.589365 92.314382 2.989593
17 94.589365 92.699286 1.600126
18 94.589365 93.240554 1.789007
19 94.589365 93.838124 1.213352
20 94.589365 94.125962 0.83517
21 94.589365 94.181177 0.911657
22 94.589365 94.10268 0.973818
23 94.589365 94.236234 0.564907
doomsday
24 94.589365 78.531202 33.903213
25 94.589365 92.981963 6.520158
26 94.589365 93.414999 4.741745
27 94.589365 94.01526 2.899307
28 94.589365 94.269971 0.884923
29 94.589365 94.225775 0.95404
