
 gen | best | mean | std
 GENERATION 0 | 92.372379 | 8.99526 | 30.239102
 GENERATION 1 | 92.372379 | 32.724749 | 38.667334
 GENERATION 2 | 92.372379 | 72.558128 | 25.925236
 gen | best | mean | std
 GENERATION 2 | 92.372379 | 72.558128 | 25.925236
 GENERATION 3 | 93.327 | 82.469363 | 16.20826
 GENERATION 4 | 93.727 | 84.985885 | 14.399155
 GENERATION 5 | 93.727 | 88.032337 | 5.179284
 GENERATION 6 | 93.727 | 88.169743 | 8.410378
 GENERATION 7 | 93.727 | 89.65428 | 3.726687
 GENERATION 8 | 93.727 | 90.365242 | 3.529718
 GENERATION 9 | 93.727 | 90.369348 | 4.49756
 GENERATION 10 | 93.727 | 91.148458 | 2.8359
 purge
 GENERATION 11 | 93.727 | 77.791413 | 31.745387
 GENERATION 12 | 93.727 | 91.599611 | 1.162125
 GENERATION 13 | 93.727 | 91.200492 | 2.659122
 GENERATION 14 | 93.727 | 91.181826 | 2.673601
 GENERATION 15 | 93.727 | 91.45222 | 1.355707
 GENERATION 16 | 93.727 | 91.230369 | 3.587316
 GENERATION 17 | 93.727 | 91.482457 | 2.576896
 purge
 GENERATION 18 | 93.727 | 81.781022 | 28.279221
 GENERATION 19 | 93.727 | 91.57752 | 1.075064
 GENERATION 20 | 93.727 | 91.632877 | 1.045525
 GENERATION 21 | 93.727 | 91.291506 | 2.121507
 GENERATION 22 | 93.727 | 91.643701 | 0.903878
 GENERATION 23 | 93.727 | 91.598007 | 0.960478
 GENERATION 24 | 93.727 | 91.048971 | 5.280509
 purge
 GENERATION 25 | 93.727 | 76.759828 | 33.140461
 GENERATION 26 | 93.727 | 91.150938 | 5.235608
 GENERATION 27 | 93.727 | 91.582953 | 1.006728
 GENERATION 28 | 93.727 | 91.587488 | 1.651829
 GENERATION 29 | 93.727 | 91.761911 | 0.371399
