
 gen | best | mean | std
 GENERATION 0 | 91.83548 | 7.481491 | 26.495994
 GENERATION 1 | 93.270101 | 53.434346 | 32.420852
 GENERATION 2 | 93.270101 | 66.649977 | 29.020696
 GENERATION 3 | 93.270101 | 73.821229 | 25.180778
 GENERATION 4 | 93.270101 | 76.410347 | 25.125388
 GENERATION 5 | 93.270101 | 78.234991 | 22.55151
 GENERATION 6 | 93.270101 | 74.01213 | 24.783619
 GENERATION 7 | 93.270101 | 77.357979 | 24.015825
 purge
 GENERATION 8 | 93.270101 | 75.041958 | 32.282966
 GENERATION 9 | 93.270101 | 80.804068 | 18.801388
 GENERATION 10 | 93.527 | 76.470901 | 24.313354
 GENERATION 11 | 93.527 | 74.842494 | 24.173876
 GENERATION 12 | 93.527 | 76.26628 | 24.363044
 GENERATION 13 | 93.527 | 77.27794 | 24.029762
 GENERATION 14 | 93.527 | 77.696574 | 23.859229
 GENERATION 15 | 93.527 | 85.445848 | 15.031287
 GENERATION 16 | 93.527 | 84.54939 | 14.93141
 purge
 GENERATION 17 | 93.527 | 73.783375 | 33.383527
 GENERATION 18 | 93.527 | 87.465395 | 12.373405
 GENERATION 19 | 93.527 | 87.14983 | 13.660546
 GENERATION 20 | 93.527 | 88.248852 | 9.931591
 GENERATION 21 | 93.527 | 90.095442 | 3.401659
 GENERATION 22 | 93.527 | 90.172116 | 4.355348
 GENERATION 23 | 93.527 | 88.938845 | 9.875562
 purge
 GENERATION 24 | 93.527 | 74.464559 | 34.966191
 GENERATION 25 | 93.527 | 90.853219 | 3.040246
 GENERATION 26 | 93.527 | 90.81881 | 2.646881
 GENERATION 27 | 93.527 | 90.815426 | 2.603202
 GENERATION 28 | 93.527 | 90.07383 | 4.907997
 GENERATION 29 | 93.527 | 90.707433 | 2.573233
