

gen best mean std
0 91.772379 9.32106 30.078051
1 93.111733 39.40457 39.582056
2 93.111733 59.519965 31.87498
3 93.111733 69.604905 27.306766
4 93.111733 79.239323 22.043146
5 93.111733 83.053908 14.877803
6 93.111733 85.128749 13.13584
7 93.127 85.614652 15.774184
8 93.127 89.066354 9.28825
9 93.127 88.983649 8.543907
10 93.727 89.481756 8.090285
11 93.727 89.305362 10.407774
12 93.727 89.297506 10.843871
13 93.727 91.038791 4.260906
14 93.727 90.599665 5.998248
15 93.727 91.628147 2.052883
16 93.727 90.72335 7.518443
17 93.727 91.801356 1.321567
18 93.727 90.547003 7.8673
19 93.727 92.01888 1.096931
20 93.727 92.160439 1.074691
21 93.727 92.397992 0.857182
22 93.727 92.551162 0.668018
23 93.727 92.573273 0.67649
24 93.727 92.799975 0.404666
doomsday
25 93.727 81.45013 28.518799
26 93.727 92.705336 1.323519
27 93.727 92.777291 1.301234
28 93.727 92.851655 1.090766
29 93.727 92.91072 0.869907
