
 gen | best | mean | std
 GENERATION 0 | 74.77941 | -0.426248 | 12.417148
 GENERATION 1 | 87.011736 | 17.333789 | 19.528184
 GENERATION 2 | 87.011736 | 28.024195 | 22.523906
 GENERATION 3 | 87.011736 | 32.309764 | 23.705178
 GENERATION 4 | 89.013791 | 38.274796 | 25.017277
 GENERATION 5 | 89.013791 | 41.279735 | 24.112228
 GENERATION 6 | 89.013791 | 41.395741 | 24.989185
 GENERATION 7 | 89.013791 | 44.628965 | 25.835278
 GENERATION 8 | 89.013791 | 43.603336 | 26.854441
 GENERATION 9 | 89.013791 | 45.441881 | 24.616347
 GENERATION 10 | 89.013791 | 50.619396 | 22.412222
 GENERATION 11 | 89.015851 | 51.735761 | 22.413767
 GENERATION 12 | 89.015851 | 48.197559 | 22.662973
 GENERATION 13 | 89.015851 | 48.844924 | 22.080819
 GENERATION 14 | 89.015851 | 45.668964 | 23.107837
 GENERATION 15 | 89.015851 | 52.225936 | 19.799191
 GENERATION 16 | 89.015851 | 49.606272 | 20.177702
 GENERATION 17 | 89.015851 | 51.565489 | 19.72456
 purge
 GENERATION 18 | 89.015851 | 49.870855 | 24.674528
 GENERATION 19 | 89.015851 | 52.50875 | 19.404045
 GENERATION 20 | 89.015851 | 55.588465 | 16.372085
 GENERATION 21 | 89.015851 | 59.215854 | 13.605256
 GENERATION 22 | 89.015851 | 57.228502 | 19.644677
 GENERATION 23 | 89.015851 | 54.803138 | 19.053831
 GENERATION 24 | 89.015851 | 55.398021 | 19.075126
 purge
 GENERATION 25 | 89.015851 | 53.614 | 25.143021
 GENERATION 26 | 89.015851 | 58.892573 | 20.006621
 GENERATION 27 | 89.015851 | 61.906709 | 19.083192
 GENERATION 28 | 89.015851 | 64.138767 | 21.784397
 GENERATION 29 | 89.015851 | 68.470679 | 19.627629
