
 gen | best | mean | std
 GENERATION 0 | 92.53704 | 9.379961 | 30.023215
 GENERATION 1 | 92.73194 | 46.00748 | 35.533343
 GENERATION 2 | 92.73194 | 63.678258 | 30.128886
 GENERATION 3 | 92.73194 | 70.962077 | 26.763713
 GENERATION 4 | 92.73194 | 78.477288 | 20.058338
 GENERATION 5 | 92.73194 | 72.064573 | 26.202299
 GENERATION 6 | 92.73194 | 71.700447 | 25.844278
 GENERATION 7 | 92.73194 | 72.8913 | 25.806737
 GENERATION 8 | 92.77505 | 71.591358 | 26.104287
 GENERATION 9 | 92.77505 | 74.588098 | 25.964554
 GENERATION 10 | 93.512404 | 76.339014 | 23.798966
 GENERATION 11 | 93.512404 | 76.785553 | 22.770896
 GENERATION 12 | 93.512404 | 72.580454 | 25.113485
 GENERATION 13 | 93.512404 | 79.698581 | 19.366685
 GENERATION 14 | 93.512404 | 78.762058 | 21.772722
 GENERATION 15 | 93.512404 | 79.766942 | 21.716498
 GENERATION 16 | 93.512404 | 84.649309 | 14.582296
 GENERATION 17 | 93.727 | 86.422826 | 11.049079
 GENERATION 18 | 93.727 | 86.879957 | 10.288998
 GENERATION 19 | 93.727 | 87.430623 | 11.18056
 GENERATION 20 | 93.727 | 88.382346 | 10.286981
 GENERATION 21 | 93.727 | 89.773396 | 5.048367
 GENERATION 22 | 93.727 | 87.830618 | 13.326531
 GENERATION 23 | 93.727 | 90.369928 | 3.917111
 purge
 GENERATION 24 | 93.727 | 79.06637 | 30.968679
 GENERATION 25 | 93.727 | 90.247718 | 7.362145
 GENERATION 26 | 93.727 | 90.593823 | 5.023244
 GENERATION 27 | 93.727 | 90.07577 | 5.162225
 GENERATION 28 | 93.727 | 90.653403 | 3.753141
 GENERATION 29 | 93.727 | 90.643855 | 4.522667
