
 gen | best | mean | std
 GENERATION 0 | 66.213103 | 0.274365 | 12.879242
 GENERATION 1 | 66.213103 | 13.139083 | 19.711182
 GENERATION 2 | 66.213103 | 21.115491 | 21.284612
 GENERATION 3 | 75.16227 | 27.913063 | 23.587584
 GENERATION 4 | 75.16227 | 33.608413 | 23.749548
 GENERATION 5 | 75.16227 | 40.230021 | 23.401825
 GENERATION 6 | 75.326677 | 39.287092 | 25.910178
 GENERATION 7 | 75.326677 | 48.910125 | 20.313246
 GENERATION 8 | 75.326677 | 43.396129 | 23.81293
 GENERATION 9 | 75.326677 | 49.117537 | 18.917191
 GENERATION 10 | 84.899556 | 49.276062 | 19.420876
 GENERATION 11 | 84.899556 | 47.133196 | 20.105024
 GENERATION 12 | 84.899556 | 46.19669 | 20.620909
 GENERATION 13 | 84.899556 | 49.642427 | 18.262358
 GENERATION 14 | 84.899556 | 51.37729 | 16.752971
 GENERATION 15 | 84.899556 | 54.294747 | 14.39852
 GENERATION 16 | 94.023266 | 52.380574 | 17.2085
 GENERATION 17 | 94.023266 | 53.364587 | 18.82803
 GENERATION 18 | 94.023266 | 57.835392 | 15.109096
 GENERATION 19 | 94.023266 | 53.574063 | 20.257582
 GENERATION 20 | 94.023266 | 58.761464 | 12.93571
 GENERATION 21 | 94.023266 | 56.983137 | 17.989391
 GENERATION 22 | 94.023266 | 58.865898 | 15.852094
 purge
 GENERATION 23 | 94.023266 | 54.064362 | 22.962363
 GENERATION 24 | 94.023266 | 62.231184 | 13.625383
 GENERATION 25 | 94.023266 | 62.694575 | 15.196714
 GENERATION 26 | 94.023266 | 61.428608 | 16.423848
 GENERATION 27 | 94.023266 | 60.585577 | 17.40629
 GENERATION 28 | 94.023266 | 62.554151 | 15.763015
 GENERATION 29 | 94.023266 | 64.001454 | 12.798746
