
 gen | best | mean | std
 GENERATION 0 | 57.601837 | -1.053815 | 10.827556
 GENERATION 1 | 66.122264 | 10.726789 | 20.065867
 GENERATION 2 | 66.122264 | 25.831593 | 22.379425
 GENERATION 3 | 66.225448 | 34.571492 | 22.101137
 GENERATION 4 | 75.185869 | 39.861955 | 21.44832
 GENERATION 5 | 75.185869 | 43.304926 | 22.033694
 GENERATION 6 | 75.185869 | 46.21298 | 20.747162
 GENERATION 7 | 75.185869 | 49.250497 | 17.638398
 GENERATION 8 | 75.309641 | 47.497048 | 20.220877
 GENERATION 9 | 75.309641 | 49.005428 | 18.412587
 GENERATION 10 | 75.309641 | 50.74956 | 18.285863
 GENERATION 11 | 75.309641 | 50.585049 | 19.022959
 GENERATION 12 | 75.309641 | 49.062058 | 19.14606
 GENERATION 13 | 94.023266 | 49.665434 | 19.869173
 GENERATION 14 | 94.023266 | 53.701809 | 17.37675
 GENERATION 15 | 94.023266 | 52.065114 | 19.411315
 GENERATION 16 | 94.023266 | 51.943797 | 17.288173
 GENERATION 17 | 94.023266 | 52.419971 | 15.585075
 GENERATION 18 | 94.023266 | 52.985613 | 17.630833
 GENERATION 19 | 94.023266 | 55.470593 | 16.272584
 purge
 GENERATION 20 | 94.023266 | 52.367537 | 22.915952
 GENERATION 21 | 94.023266 | 53.064238 | 19.02747
 GENERATION 22 | 94.023266 | 55.275287 | 17.042287
 GENERATION 23 | 94.023266 | 56.161368 | 14.817326
 GENERATION 24 | 94.023266 | 57.363042 | 13.70747
 GENERATION 25 | 94.023266 | 57.430449 | 12.93333
 GENERATION 26 | 94.023266 | 57.880554 | 15.33949
 purge
 GENERATION 27 | 94.023266 | 51.333206 | 25.617341
 GENERATION 28 | 94.023266 | 61.553853 | 14.612282
 GENERATION 29 | 94.023266 | 64.192521 | 12.990814
