
 gen | best | mean | std
 GENERATION 0 | 66.16227 | -0.282614 | 12.833957
 GENERATION 1 | 66.225448 | 7.558803 | 20.067041
 GENERATION 2 | 66.601837 | 20.242721 | 21.156162
 GENERATION 3 | 75.601837 | 37.85009 | 24.063993
 GENERATION 4 | 85.689573 | 50.803468 | 21.023474
 GENERATION 5 | 85.689573 | 59.071019 | 12.367655
 GENERATION 6 | 86.299556 | 57.692574 | 13.960895
 GENERATION 7 | 86.299556 | 58.955919 | 10.837245
 GENERATION 8 | 86.299556 | 58.97845 | 10.792169
 GENERATION 9 | 86.299556 | 60.120745 | 9.726978
 GENERATION 10 | 86.299556 | 61.004561 | 8.219907
 GENERATION 11 | 86.299556 | 62.814237 | 6.97448
 GENERATION 12 | 94.023266 | 61.836283 | 11.620995
 GENERATION 13 | 94.023266 | 62.535588 | 9.267883
 GENERATION 14 | 94.023266 | 63.751399 | 7.032267
 GENERATION 15 | 94.023266 | 63.722393 | 7.838531
 GENERATION 16 | 94.023266 | 64.792578 | 4.91485
 GENERATION 17 | 94.023266 | 64.98165 | 6.099824
 GENERATION 18 | 94.023266 | 65.441051 | 7.750052
 purge
 GENERATION 19 | 94.023266 | 50.914281 | 28.818531
 GENERATION 20 | 94.023266 | 65.795131 | 8.294866
 GENERATION 21 | 94.023266 | 66.702841 | 5.118651
 GENERATION 22 | 94.023266 | 66.26278 | 6.790652
 GENERATION 23 | 94.023266 | 65.99444 | 7.606929
 GENERATION 24 | 94.023266 | 66.884658 | 4.926949
 GENERATION 25 | 94.023266 | 66.643019 | 6.195048
 purge
 GENERATION 26 | 94.023266 | 50.84033 | 30.434573
 GENERATION 27 | 94.023266 | 65.642429 | 9.803799
 GENERATION 28 | 94.023266 | 66.176959 | 6.849532
 GENERATION 29 | 94.023266 | 63.83593 | 11.572773
