
 gen | best | mean | std
 GENERATION 0 | 56.773463 | -0.553392 | 10.584827
 GENERATION 1 | 86.013791 | 16.621398 | 19.802667
 GENERATION 2 | 86.013791 | 23.759811 | 22.059906
 GENERATION 3 | 86.013791 | 31.156441 | 23.066449
 GENERATION 4 | 86.013791 | 36.371719 | 23.26215
 GENERATION 5 | 87.011736 | 41.587877 | 23.626432
 GENERATION 6 | 87.011736 | 41.803237 | 23.61645
 GENERATION 7 | 87.457963 | 44.408951 | 23.60089
 GENERATION 8 | 91.931574 | 48.840249 | 23.278154
 GENERATION 9 | 91.931574 | 48.281041 | 25.267132
 GENERATION 10 | 91.931574 | 49.013112 | 22.219139
 GENERATION 11 | 91.931574 | 50.482056 | 21.325662
 GENERATION 12 | 91.931574 | 49.719881 | 23.268882
 GENERATION 13 | 91.931574 | 47.954853 | 24.094199
 GENERATION 14 | 91.931574 | 50.543611 | 23.775299
 purge
 GENERATION 15 | 91.931574 | 50.783124 | 25.733272
 GENERATION 16 | 91.931574 | 55.369321 | 18.855186
 GENERATION 17 | 91.931574 | 55.214582 | 19.507215
 GENERATION 18 | 91.931574 | 56.863815 | 17.909082
 GENERATION 19 | 91.931574 | 56.844256 | 18.891984
 GENERATION 20 | 91.931574 | 57.682792 | 17.125834
 GENERATION 21 | 91.931574 | 59.236495 | 16.133913
 purge
 GENERATION 22 | 91.931574 | 54.9871 | 26.482585
 GENERATION 23 | 91.931574 | 61.993665 | 18.713778
 GENERATION 24 | 91.931574 | 62.230839 | 17.79925
 GENERATION 25 | 91.931574 | 62.47328 | 19.040453
 GENERATION 26 | 91.931574 | 65.45225 | 15.546906
 GENERATION 27 | 91.931574 | 67.719174 | 19.174353
 GENERATION 28 | 91.931574 | 70.689601 | 16.324583
 purge
 GENERATION 29 | 91.931574 | 66.202735 | 27.490294
