
 gen | best | mean | std
 GENERATION 0 | 57.16227 | -0.416953 | 12.722632
 GENERATION 1 | 57.16227 | 9.167729 | 17.145967
 GENERATION 2 | 57.16227 | 19.232112 | 16.465955
 GENERATION 3 | 75.054579 | 25.982243 | 19.833505
 GENERATION 4 | 75.054579 | 32.66656 | 20.353863
 GENERATION 5 | 75.091917 | 38.829776 | 20.919399
 GENERATION 6 | 75.091917 | 46.287431 | 18.030416
 GENERATION 7 | 75.091917 | 51.02961 | 17.618179
 GENERATION 8 | 75.091917 | 56.639169 | 11.61897
 GENERATION 9 | 75.091917 | 51.772723 | 19.17313
 GENERATION 10 | 75.091917 | 51.661112 | 17.53859
 GENERATION 11 | 75.091917 | 54.994856 | 13.087718
 purge
 GENERATION 12 | 75.091917 | 43.702007 | 25.96974
 GENERATION 13 | 75.091917 | 54.393987 | 13.64607
 GENERATION 14 | 75.091917 | 57.435531 | 5.554618
 GENERATION 15 | 75.091917 | 55.641376 | 11.111978
 GENERATION 16 | 75.091917 | 55.543766 | 11.521047
 GENERATION 17 | 75.091917 | 56.445778 | 8.558617
 GENERATION 18 | 75.091917 | 57.160889 | 6.103684
 purge
 GENERATION 19 | 75.091917 | 45.481035 | 24.613533
 GENERATION 20 | 75.091917 | 55.635528 | 11.338556
 GENERATION 21 | 75.091917 | 57.430331 | 5.69899
 GENERATION 22 | 75.091917 | 56.536829 | 7.410864
 GENERATION 23 | 75.091917 | 57.616561 | 2.652605
 GENERATION 24 | 75.16227 | 58.066561 | 3.915986
 GENERATION 25 | 75.16227 | 57.442209 | 7.41997
 GENERATION 26 | 86.299556 | 56.320934 | 12.991104
 GENERATION 27 | 86.299556 | 58.83001 | 5.797951
 GENERATION 28 | 86.299556 | 61.095685 | 8.065508
 GENERATION 29 | 86.299556 | 62.155015 | 8.594307
