
 gen | best | mean | std
 GENERATION 0 | 56.773463 | 1.145696 | 13.352807
 GENERATION 1 | 65.719604 | 16.02755 | 17.302958
 GENERATION 2 | 88.443021 | 27.874791 | 20.165604
 GENERATION 3 | 88.443021 | 32.066982 | 21.772105
 GENERATION 4 | 88.443021 | 36.147597 | 20.860211
 GENERATION 5 | 88.443021 | 41.011388 | 23.536331
 GENERATION 6 | 88.443021 | 43.638603 | 22.819733
 GENERATION 7 | 88.443021 | 44.588625 | 22.607394
 GENERATION 8 | 88.443021 | 42.8665 | 23.547498
 purge
 GENERATION 9 | 88.443021 | 40.944758 | 28.50755
 GENERATION 10 | 88.443021 | 48.42789 | 22.073209
 GENERATION 11 | 89.393424 | 49.197447 | 22.294544
 GENERATION 12 | 89.393424 | 50.775091 | 21.87918
 GENERATION 13 | 89.393424 | 48.419216 | 23.361037
 GENERATION 14 | 89.393424 | 50.764798 | 22.807279
 GENERATION 15 | 89.393424 | 53.685681 | 22.870811
 GENERATION 16 | 89.393424 | 54.714666 | 19.873292
 GENERATION 17 | 89.393424 | 55.604377 | 19.541113
 GENERATION 18 | 89.413791 | 59.967895 | 17.565903
 GENERATION 19 | 89.413791 | 64.410538 | 16.04094
 GENERATION 20 | 89.413791 | 64.850263 | 16.82102
 GENERATION 21 | 89.413791 | 66.596524 | 17.774579
 GENERATION 22 | 89.413791 | 63.177448 | 21.576551
 GENERATION 23 | 89.413791 | 66.379984 | 19.909811
 GENERATION 24 | 89.413791 | 68.171045 | 20.431948
 purge
 GENERATION 25 | 89.413791 | 67.214145 | 29.226467
 GENERATION 26 | 89.413791 | 74.070893 | 20.660196
 GENERATION 27 | 89.793424 | 77.779449 | 18.129467
 GENERATION 28 | 89.793424 | 76.394701 | 22.256299
 GENERATION 29 | 89.793424 | 74.145208 | 24.666632
