

gen best mean std
0 91.772379 3.208239 23.996502
1 92.569562 24.897063 36.988068
2 92.569562 62.531131 28.788666
3 92.569562 72.056382 24.918095
4 92.569562 82.228889 18.427077
5 92.569562 88.305048 10.215788
6 92.576119 89.353101 9.556558
7 92.576119 90.515415 7.947979
8 92.576119 90.868506 5.080839
9 92.770654 91.07564 4.461182
10 92.770654 91.689563 0.693958
11 92.770654 91.321624 4.279118
12 92.770654 91.475753 2.584778
13 92.770654 91.422374 2.666925
14 92.770654 91.665248 0.858876
15 92.770654 91.744479 0.635653
16 92.770654 91.84144 0.218665
17 92.770654 91.791464 0.492359
18 92.770654 91.290515 3.804619
19 92.770654 91.684291 1.012356
20 92.970654 91.541888 1.901786
21 93.058336 91.241966 2.912163
22 93.058336 91.202592 4.226796
23 93.058336 90.149401 7.605886
24 93.058336 91.159564 3.794303
25 93.058336 91.406578 3.069916
26 93.058336 91.74017 1.727596
27 93.058336 92.006848 0.288998
28 93.058336 91.302633 5.464157
29 93.058336 92.00041 0.515453
