
 gen | best | mean | std
 GENERATION 0 | 92.58272 | 7.490268 | 29.227996
 GENERATION 1 | 92.58272 | 47.765553 | 34.158846
 GENERATION 2 | 92.58272 | 66.720059 | 27.037961
 GENERATION 3 | 93.127 | 71.684273 | 25.334466
 GENERATION 4 | 93.127 | 72.8228 | 26.110324
 GENERATION 5 | 93.127 | 79.27172 | 22.083715
 GENERATION 6 | 93.127 | 79.779177 | 20.292656
 GENERATION 7 | 93.127 | 79.614801 | 21.07568
 GENERATION 8 | 93.195993 | 77.777887 | 22.781281
 GENERATION 9 | 93.195993 | 76.259113 | 24.510599
 GENERATION 10 | 93.195993 | 79.032388 | 21.858186
 GENERATION 11 | 93.195993 | 78.693759 | 22.083912
 GENERATION 12 | 93.195993 | 76.512437 | 25.825956
 GENERATION 13 | 93.195993 | 78.677436 | 23.48977
 GENERATION 14 | 93.195993 | 79.068235 | 21.326739
 purge
 GENERATION 15 | 93.195993 | 75.970489 | 32.056612
 GENERATION 16 | 93.195993 | 86.979729 | 13.689532
 GENERATION 17 | 93.195993 | 87.132135 | 13.021845
 GENERATION 18 | 93.195993 | 86.861444 | 13.874051
 GENERATION 19 | 93.195993 | 87.556564 | 9.464774
 GENERATION 20 | 93.195993 | 89.385185 | 6.475188
 GENERATION 21 | 93.195993 | 89.585617 | 7.971193
 purge
 GENERATION 22 | 93.195993 | 71.265399 | 38.259596
 GENERATION 23 | 93.327 | 90.26877 | 7.11031
 GENERATION 24 | 93.727 | 90.270053 | 5.779253
 GENERATION 25 | 93.727 | 90.55745 | 3.219507
 GENERATION 26 | 93.727 | 90.468807 | 3.282628
 GENERATION 27 | 93.727 | 90.170461 | 3.462212
 GENERATION 28 | 93.727 | 89.092033 | 9.738172
 GENERATION 29 | 93.727 | 88.813945 | 9.901472
