
 gen | best | mean | std
 GENERATION 0 | 92.358253 | 9.482231 | 29.398963
 GENERATION 1 | 92.576119 | 47.274709 | 33.23269
 GENERATION 2 | 92.58272 | 70.122515 | 26.988674
 GENERATION 3 | 93.04704 | 71.174758 | 26.15125
 GENERATION 4 | 93.04704 | 78.131669 | 22.606262
 GENERATION 5 | 93.04704 | 72.970788 | 29.026133
 GENERATION 6 | 93.04704 | 77.361218 | 22.972279
 GENERATION 7 | 93.201503 | 77.910286 | 19.770309
 GENERATION 8 | 93.201503 | 76.382718 | 23.477867
 GENERATION 9 | 93.235214 | 78.779572 | 21.947433
 GENERATION 10 | 93.235214 | 77.932929 | 23.334255
 GENERATION 11 | 93.370654 | 75.204108 | 24.366761
 GENERATION 12 | 93.370654 | 76.580583 | 23.145099
 GENERATION 13 | 93.370654 | 72.938995 | 27.991802
 GENERATION 14 | 93.527 | 72.299591 | 26.644698
 GENERATION 15 | 93.727 | 81.690816 | 19.564226
 GENERATION 16 | 93.727 | 83.736643 | 15.559329
 GENERATION 17 | 93.727 | 87.061515 | 11.538167
 GENERATION 18 | 93.727 | 88.561162 | 8.956526
 GENERATION 19 | 93.727 | 88.158446 | 9.452117
 GENERATION 20 | 93.727 | 89.072865 | 6.331929
 GENERATION 21 | 93.727 | 89.455012 | 6.243134
 purge
 GENERATION 22 | 93.727 | 82.84619 | 24.917204
 GENERATION 23 | 93.727 | 89.491949 | 6.5638
 GENERATION 24 | 93.835214 | 89.631732 | 6.594095
 GENERATION 25 | 93.835214 | 89.130451 | 6.630371
 GENERATION 26 | 93.835214 | 89.900298 | 3.427114
 GENERATION 27 | 93.835214 | 89.831137 | 3.183991
 GENERATION 28 | 93.835214 | 89.993209 | 3.09999
 GENERATION 29 | 93.835214 | 89.633013 | 7.970546
