
 gen | best | mean | std
 GENERATION 0 | 65.775442 | -2.197062 | 9.58786
 GENERATION 1 | 74.742332 | 10.02603 | 15.952257
 GENERATION 2 | 74.742332 | 21.48242 | 18.161221
 GENERATION 3 | 74.742332 | 26.499988 | 18.414859
 GENERATION 4 | 75.203942 | 30.782985 | 20.672692
 GENERATION 5 | 75.203942 | 31.797822 | 20.784466
 GENERATION 6 | 75.203942 | 37.360811 | 20.474128
 GENERATION 7 | 87.275317 | 36.998057 | 23.012907
 GENERATION 8 | 87.275317 | 43.372091 | 23.192299
 GENERATION 9 | 87.275317 | 42.347702 | 21.999852
 GENERATION 10 | 87.275317 | 40.217749 | 23.264985
 GENERATION 11 | 87.607638 | 45.028497 | 20.378685
 GENERATION 12 | 87.607638 | 46.407553 | 22.032032
 GENERATION 13 | 87.607638 | 43.579711 | 22.843722
 GENERATION 14 | 87.607638 | 45.610406 | 23.452269
 GENERATION 15 | 89.260115 | 50.246654 | 22.508244
 GENERATION 16 | 89.260115 | 52.80737 | 22.375218
 GENERATION 17 | 89.260115 | 54.057439 | 20.282682
 GENERATION 18 | 89.260115 | 54.950463 | 18.604263
 GENERATION 19 | 89.260115 | 58.467656 | 19.091687
 GENERATION 20 | 89.260115 | 60.078672 | 16.628056
 GENERATION 21 | 89.260115 | 61.204436 | 16.838712
 purge
 GENERATION 22 | 89.260115 | 50.859147 | 29.784057
 GENERATION 23 | 89.260115 | 59.522254 | 18.134472
 GENERATION 24 | 89.260115 | 58.965331 | 20.433881
 GENERATION 25 | 89.260115 | 62.278675 | 17.338587
 GENERATION 26 | 89.640905 | 64.51679 | 18.546438
 GENERATION 27 | 89.640905 | 61.521153 | 21.046082
 GENERATION 28 | 89.640905 | 61.790386 | 19.923165
 GENERATION 29 | 89.640905 | 62.744437 | 20.64378
