
 gen | best | mean | std
 GENERATION 0 | 57.16227 | -0.938105 | 12.60105
 GENERATION 1 | 66.16227 | 10.260012 | 19.852301
 GENERATION 2 | 66.16227 | 22.292912 | 22.784161
 GENERATION 3 | 94.023266 | 34.830062 | 24.949419
 GENERATION 4 | 94.023266 | 41.596667 | 23.201821
 GENERATION 5 | 94.023266 | 46.96258 | 22.174107
 GENERATION 6 | 94.023266 | 47.912611 | 20.670545
 GENERATION 7 | 94.023266 | 50.222183 | 19.945967
 GENERATION 8 | 94.023266 | 50.501409 | 20.545583
 GENERATION 9 | 94.023266 | 50.43224 | 22.547842
 purge
 GENERATION 10 | 94.023266 | 46.188874 | 28.273478
 GENERATION 11 | 94.023266 | 55.463635 | 17.704716
 GENERATION 12 | 94.023266 | 54.837941 | 18.386013
 GENERATION 13 | 94.023266 | 53.119039 | 20.041217
 GENERATION 14 | 94.023266 | 48.46333 | 21.439515
 GENERATION 15 | 94.023266 | 53.347059 | 19.790215
 GENERATION 16 | 94.023266 | 55.88659 | 16.563484
 purge
 GENERATION 17 | 94.023266 | 46.185103 | 29.107098
 GENERATION 18 | 94.023266 | 57.240455 | 17.389858
 GENERATION 19 | 94.023266 | 57.645784 | 15.2316
 GENERATION 20 | 94.023266 | 59.276182 | 14.679364
 GENERATION 21 | 94.023266 | 61.300408 | 15.127829
 GENERATION 22 | 94.023266 | 60.830259 | 14.785809
 GENERATION 23 | 94.023266 | 61.024269 | 14.559767
 purge
 GENERATION 24 | 94.023266 | 49.84372 | 31.226495
 GENERATION 25 | 94.023266 | 60.616428 | 19.326858
 GENERATION 26 | 94.023266 | 62.02231 | 18.56916
 GENERATION 27 | 94.023266 | 60.881064 | 17.515559
 GENERATION 28 | 94.023266 | 61.102185 | 18.131776
 GENERATION 29 | 94.023266 | 64.689788 | 15.691883
