
 gen | best | mean | std
 GENERATION 0 | 89.44704 | 7.879044 | 26.430466
 GENERATION 1 | 91.772379 | 45.644454 | 33.910138
 GENERATION 2 | 92.58272 | 61.449436 | 31.106829
 GENERATION 3 | 92.58272 | 70.992381 | 27.182103
 GENERATION 4 | 92.776119 | 76.988803 | 21.694319
 GENERATION 5 | 93.527 | 79.127936 | 20.288699
 GENERATION 6 | 93.527 | 76.243424 | 26.651635
 GENERATION 7 | 93.527 | 77.238722 | 24.090536
 GENERATION 8 | 93.527 | 80.87956 | 20.775148
 GENERATION 9 | 93.527 | 82.777108 | 19.036388
 GENERATION 10 | 93.527 | 78.579492 | 23.699882
 GENERATION 11 | 93.527 | 80.380738 | 21.610202
 purge
 GENERATION 12 | 93.527 | 72.557962 | 35.089596
 GENERATION 13 | 93.527 | 81.203617 | 20.227729
 GENERATION 14 | 93.527 | 75.592432 | 26.511484
 GENERATION 15 | 93.527 | 83.197747 | 16.651803
 GENERATION 16 | 93.527 | 87.940134 | 8.067685
 GENERATION 17 | 93.527 | 88.481714 | 8.144071
 GENERATION 18 | 93.527 | 87.644065 | 11.149657
 purge
 GENERATION 19 | 93.527 | 75.31967 | 33.829451
 GENERATION 20 | 93.527 | 88.264981 | 10.833033
 GENERATION 21 | 93.527 | 88.710808 | 8.181965
 GENERATION 22 | 93.527 | 89.783724 | 5.536099
 GENERATION 23 | 93.527 | 89.414039 | 6.671106
 GENERATION 24 | 93.527 | 89.6278 | 6.304126
 GENERATION 25 | 93.527 | 89.08857 | 8.179729
 purge
 GENERATION 26 | 93.527 | 75.60601 | 34.74042
 GENERATION 27 | 93.527 | 88.114554 | 14.38232
 GENERATION 28 | 93.527 | 89.677017 | 9.004397
 GENERATION 29 | 93.527 | 90.871939 | 3.713972
