
 gen | best | mean | std
 GENERATION 0 | 66.16227 | -0.509884 | 13.314849
 GENERATION 1 | 66.263428 | 12.638415 | 21.265697
 GENERATION 2 | 66.263428 | 21.094721 | 22.378547
 GENERATION 3 | 66.263428 | 32.099078 | 23.391553
 GENERATION 4 | 75.282972 | 37.342743 | 23.696861
 GENERATION 5 | 75.282972 | 44.915078 | 20.856104
 GENERATION 6 | 75.282972 | 43.422515 | 23.942108
 GENERATION 7 | 75.282972 | 43.533283 | 22.051766
 GENERATION 8 | 75.282972 | 45.845517 | 21.055597
 GENERATION 9 | 75.282972 | 47.097582 | 20.169861
 GENERATION 10 | 75.282972 | 48.927787 | 18.142689
 purge
 GENERATION 11 | 75.282972 | 45.211873 | 24.355773
 GENERATION 12 | 75.282972 | 50.429445 | 17.077656
 GENERATION 13 | 75.282972 | 47.484226 | 19.563734
 GENERATION 14 | 75.282972 | 48.599487 | 19.130425
 GENERATION 15 | 75.282972 | 52.043003 | 16.327518
 GENERATION 16 | 75.282972 | 54.584448 | 13.71854
 GENERATION 17 | 86.656997 | 54.201132 | 13.706878
 GENERATION 18 | 86.656997 | 53.151273 | 15.355168
 GENERATION 19 | 86.656997 | 53.243882 | 15.167301
 GENERATION 20 | 94.023266 | 56.051581 | 14.216813
 GENERATION 21 | 94.023266 | 53.769579 | 16.910262
 GENERATION 22 | 94.023266 | 57.118485 | 13.093657
 GENERATION 23 | 94.023266 | 56.779294 | 13.611001
 GENERATION 24 | 94.023266 | 57.566738 | 12.196002
 GENERATION 25 | 94.023266 | 56.566349 | 16.005884
 GENERATION 26 | 94.023266 | 57.323139 | 14.856287
 purge
 GENERATION 27 | 94.023266 | 49.889909 | 24.835032
 GENERATION 28 | 94.023266 | 56.851853 | 14.073615
 GENERATION 29 | 94.023266 | 56.99435 | 12.512027
