
 gen | best | mean | std
 GENERATION 0 | 57.601837 | -0.413443 | 12.447529
 GENERATION 1 | 57.601837 | 5.700378 | 17.790418
 GENERATION 2 | 57.601837 | 14.129393 | 19.489034
 GENERATION 3 | 57.601837 | 21.14593 | 20.198403
 GENERATION 4 | 75.091917 | 34.023155 | 23.374068
 GENERATION 5 | 75.091917 | 43.320602 | 20.630157
 GENERATION 6 | 75.091917 | 49.661756 | 19.85265
 GENERATION 7 | 75.091917 | 53.797626 | 14.89385
 GENERATION 8 | 75.094638 | 57.462725 | 9.919471
 GENERATION 9 | 75.094638 | 58.236548 | 9.950803
 GENERATION 10 | 75.094638 | 58.518964 | 10.273395
 GENERATION 11 | 75.094638 | 58.205086 | 9.98014
 GENERATION 12 | 75.094638 | 58.060206 | 9.963107
 GENERATION 13 | 75.273152 | 56.196809 | 12.113042
 GENERATION 14 | 75.296218 | 59.086624 | 7.667792
 GENERATION 15 | 75.296218 | 59.449902 | 6.879685
 GENERATION 16 | 75.296218 | 60.134407 | 6.728751
 GENERATION 17 | 75.601837 | 59.934529 | 6.584804
 GENERATION 18 | 75.601837 | 59.242506 | 9.590229
 GENERATION 19 | 75.601837 | 59.624104 | 8.459518
 GENERATION 20 | 75.601837 | 59.33527 | 11.212484
 GENERATION 21 | 75.601837 | 60.677057 | 7.877491
 GENERATION 22 | 75.601837 | 61.751566 | 6.124714
 GENERATION 23 | 75.601837 | 63.203948 | 6.86106
 purge
 GENERATION 24 | 75.601837 | 51.164707 | 29.546144
 GENERATION 25 | 75.601837 | 64.034144 | 16.366243
 GENERATION 26 | 75.601837 | 67.44195 | 10.311154
 GENERATION 27 | 75.601837 | 68.85524 | 7.94085
 GENERATION 28 | 75.601837 | 70.819311 | 6.146801
 GENERATION 29 | 75.601837 | 71.699055 | 6.83477
 GENERATION 30 | 75.601837 | 72.600641 | 6.017999
 purge
 GENERATION 31 | 75.601837 | 56.066676 | 33.574864
 GENERATION 32 | 75.601837 | 70.718081 | 17.091319
 GENERATION 33 | 75.601837 | 75.096974 | 1.786281
 GENERATION 34 | 75.601837 | 74.208601 | 7.498954
 GENERATION 35 | 75.601837 | 74.923548 | 2.494685
 GENERATION 36 | 75.601837 | 75.0163 | 1.952142
 GENERATION 37 | 75.601837 | 74.651997 | 3.163313
 purge
 GENERATION 38 | 75.601837 | 57.503951 | 31.699888
 GENERATION 39 | 75.601837 | 72.685586 | 11.181009
 GENERATION 40 | 75.601837 | 74.027646 | 6.322992
 GENERATION 41 | 75.601837 | 74.648285 | 3.668293
 GENERATION 42 | 75.601837 | 74.477883 | 5.100967
 GENERATION 43 | 75.601837 | 73.854932 | 7.110015
 GENERATION 44 | 75.601837 | 74.115171 | 4.664667
 purge
 GENERATION 45 | 75.601837 | 57.94519 | 31.024245
 GENERATION 46 | 75.601837 | 72.147559 | 14.46122
 GENERATION 47 | 75.601837 | 73.221415 | 10.111616
 GENERATION 48 | 75.601837 | 74.478559 | 6.453971
 GENERATION 49 | 75.601837 | 74.83304 | 2.664323
