
 gen | best | mean | std
 GENERATION 0 | 56.77941 | 1.925112 | 14.190788
 GENERATION 1 | 74.77941 | 16.724302 | 20.036954
 GENERATION 2 | 74.77941 | 24.756451 | 19.0166
 GENERATION 3 | 84.238793 | 26.97596 | 19.087826
 GENERATION 4 | 86.357367 | 29.36512 | 20.987644
 GENERATION 5 | 86.357367 | 35.111638 | 23.166926
 GENERATION 6 | 87.011736 | 38.44665 | 24.487733
 GENERATION 7 | 87.011736 | 43.37291 | 23.063789
 GENERATION 8 | 87.011736 | 43.808709 | 24.458046
 GENERATION 9 | 87.011736 | 44.118531 | 24.547206
 GENERATION 10 | 87.011736 | 44.156113 | 24.495703
 GENERATION 11 | 87.011736 | 46.306397 | 25.848318
 GENERATION 12 | 87.011736 | 47.848188 | 24.054588
 purge
 GENERATION 13 | 87.011736 | 50.523088 | 26.202246
 GENERATION 14 | 87.011736 | 51.543291 | 22.785122
 GENERATION 15 | 87.611736 | 56.704228 | 23.049998
 GENERATION 16 | 88.193424 | 58.661766 | 22.662307
 GENERATION 17 | 89.393424 | 67.110168 | 19.851252
 GENERATION 18 | 89.413791 | 69.318599 | 20.408791
 GENERATION 19 | 89.413791 | 71.307545 | 18.014616
 GENERATION 20 | 89.413791 | 72.141512 | 18.365867
 GENERATION 21 | 89.413791 | 73.85376 | 18.807174
 GENERATION 22 | 89.413791 | 76.574958 | 16.79003
 GENERATION 23 | 89.413791 | 74.978156 | 18.193204
 GENERATION 24 | 89.413791 | 74.624359 | 18.039786
 purge
 GENERATION 25 | 89.413791 | 68.522099 | 31.463382
 GENERATION 26 | 89.413791 | 75.38389 | 20.196727
 GENERATION 27 | 89.413791 | 74.964929 | 19.162875
 GENERATION 28 | 89.413791 | 74.573251 | 21.337916
 GENERATION 29 | 89.413791 | 76.437937 | 18.759034
