
 gen | best | mean | std
 GENERATION 0 | 56.773463 | 3.356185 | 17.088725
 GENERATION 1 | 86.623649 | 23.666983 | 22.123046
 GENERATION 2 | 87.011736 | 33.303497 | 22.07386
 GENERATION 3 | 87.011736 | 33.932575 | 23.395228
 GENERATION 4 | 87.011736 | 34.530207 | 22.735957
 GENERATION 5 | 87.011736 | 37.942091 | 24.379649
 GENERATION 6 | 87.011736 | 39.612988 | 23.791575
 GENERATION 7 | 88.211736 | 44.072721 | 22.710089
 GENERATION 8 | 88.211736 | 48.971467 | 21.517145
 GENERATION 9 | 88.211736 | 45.61009 | 21.889978
 GENERATION 10 | 88.211736 | 47.191893 | 21.734872
 GENERATION 11 | 88.211736 | 46.843554 | 22.804837
 GENERATION 12 | 88.211736 | 47.005782 | 22.016704
 GENERATION 13 | 88.211736 | 47.252993 | 23.258118
 purge
 GENERATION 14 | 88.211736 | 48.180432 | 23.837635
 GENERATION 15 | 88.211736 | 53.851207 | 18.797259
 GENERATION 16 | 88.211736 | 51.792807 | 18.363281
 GENERATION 17 | 88.211736 | 54.693972 | 15.978444
 GENERATION 18 | 88.211736 | 57.723434 | 13.474093
 GENERATION 19 | 88.211736 | 56.876782 | 18.209022
 GENERATION 20 | 88.211736 | 61.999739 | 16.549773
 purge
 GENERATION 21 | 88.211736 | 54.064693 | 28.65477
 GENERATION 22 | 88.211736 | 60.667285 | 20.126197
 GENERATION 23 | 88.211736 | 62.075555 | 18.7605
 GENERATION 24 | 89.413791 | 62.463834 | 20.028399
 GENERATION 25 | 89.413791 | 61.340514 | 20.515887
 GENERATION 26 | 89.593424 | 66.008178 | 17.492472
 GENERATION 27 | 89.593424 | 65.392058 | 21.878612
 GENERATION 28 | 89.593424 | 68.180088 | 19.642827
 GENERATION 29 | 89.593424 | 69.45789 | 20.4502
