

gen best mean std
0 92.13704 7.19122 28.524728
1 92.379644 34.398267 37.524675
2 92.379644 60.547448 32.816284
3 92.53704 74.481965 26.564042
4 93.127 79.668006 21.335174
5 93.127 77.616958 22.74815
6 93.127 83.100206 19.552771
7 93.127 83.999547 17.584282

gen best mean std
7 93.127 83.999547 17.584282
